id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
10406,航空曲,其他,hong hung kuk,航4空1曲7,曲尺手槍,,
10407,漏底,其他,lau dai,漏6底2,(不是粵方言詞),,
10408,快掣,其他,faai zai,快3掣8,連發的槍,,
10409,炮,其他,paau,炮3,槍,,
10410,菠蘿彈,其他,bo lo daan,菠1蘿4彈6*2,手榴彈,,(喻)菠蘿形手榴彈
10411,,其他,gip,7,發火帽,,(舊指舊式火槍的)發火帽
10412,鎖鐐,工具、材料,so liu,鎖2鐐4,手銬,,
10413,手扣,工具、材料,sau kau,手2扣3,手銬,,
10414,水車,商業、交通,seoi ce,水2車1,消防車,救火車,"同""""火燭車"""""
10415,水炮,其他,seoi paau,水2炮3,高壓水龍頭,,(消防車上的)高壓水龍頭
10416,消防喉,房屋,siu fong hau,消1防4喉4,消防水龍頭,消火栓,
10417,風槍,其他,fung coeng,風1槍1,汽槍,,
10418,砂槍,其他,saa coeng,砂1槍1,霰彈獵槍,,"同""""粉槍"""""
10419,差館,房屋,caai gwun,差1館2,警署,,
10420,花廳,房屋,faa teng,花1廳1,監獄,,
10421,路板,工具、材料,sin lou baan,3路6板2,印刷電路板,,
10422,原子粒,工具、材料,jyun zi nap,原4子2粒7,晶體管,,
10423,漆皮,其他,cat pei sin,漆7皮4*23,(不是粵方言詞),,
10424,褡膊,服飾,daap bok,褡8膊8,(沒有對應詞彙),,搬運工人的墊肩布
10425,行貨,商業、交通,hong fo,行4貨3,(不是粵方言詞),,非粵方言詞。
10426,水貨,商業、交通,seoi fo,水2貨3,仿冒、偽劣產品,,
10427,籌,其他,cau,籌4*2,號兒,牌兒,
10428,竇口,其他,dau hau,竇3口2,(沒有對應詞彙),,"本義是窩,指特定的人經常逗留的地方"
10429,律師樓,商業、交通,leot si lau,律9師1樓4,律師事務所,,
10430,安老院,商業、交通,on lou jyun,安1老5院4*2,養老院,,
10431,山寨廳,商業、交通,saan zaai ceng,山1寨6廳2,(沒有對應詞彙),,作坊式小工廠
10432,垃圾崗,商業、交通,laap saap gong,垃9圾8崗1,垃圾堆置場,,
10433,歸底,其他,gau dai,歸6底2,過去,以前,
10434,舊陣時,時間、節令,gau zan si,舊6陣6時4(4*2),過去,以前,
10435,往時,時間、節令,wong si,往5時4*2,過去,,
10436,往陣時,時間、節令,wong zan si,往5陣6時4*2,過去,以前,
10437,咸豐年,時間、節令,haam fung go nin,咸4豐12年4,很久以前,,
10438,家陣時,時間、節令,gaa zan si,家1陣6時4*2,現在,,
10439,現今,時間、節令,jin gam,現6今1,(不是粵方言詞),,
10440,現時,時間、節令,jin si,現6時4,(不是粵方言詞),,
10441,第日,時間、節令,dai jat,第6日9,以後,將來,
10442,第時,時間、節令,dai si,第6時4,以後,將來,
10443,第世,時間、節令,dai sai,第6世3,下一輩子,,
10444,初時,時間、節令,co si,初1時4,早先,最初,
10445,起頭,時間、節令,hei tau,起2頭4,早先,最初,"[又作""""起先""""]"
10446,先先,時間、節令,sin sin,先1先1,早先,最初,
10447,先時,時間、節令,sin si,先1時4,早先,最初,
10448,在早,時間、節令,zoi zou,在6早2,早些時,剛才,
10449,求先,時間、節令,kau sin,求4先1,剛才,,
10450,後,時間、節令,hau lai,後64,後來,,
10451,蚊尾,時間、節令,man mei,蚊1尾5*1,後來,,
10452,尾尾,時間、節令,mei mei,尾5*1尾5*1,後來,,
10453,孻尾,形容詞,laai mei,孻1尾5*1,後來,,
10454,最尾,形容詞,zeoi mei,最3尾5*1,時間上的最後,,
10455,大早,時間、節令,daai zou,大6早2,清早,一大早,
10456,朝頭早,時間、節令,ziu tau zou,朝1頭4早2,早上,上午,
10457,夜晚黑,時間、節令,je maan hak,夜5晚4黑*2,晚上,,
10458,琴日,時間、節令,kam jat,琴4日9,昨天,,
10459,尋晚夜,時間、節令,cam maan je,尋4晚5夜6,昨晚上,,
10460,琴晚,時間、節令,kam maan,琴4晚5,昨晚上,,
10461,前日,時間、節令,cin jat,前4日9,前天,,
10462,前晚,時間、節令,cin maan,前4晚5,前天晚上,,
10463,今朝,時間、節令,gam ziu,今1朝1,(不是粵方言詞),,非粵方言詞。
10464,後朝,時間、節令,hau ziu,後6朝1,後天早上,後天上午,
10465,後晚,時間、節令,hau maan,後6晚5,後天晚上,,
10466,大後日,時間、節令,daai hau jat,大6後6日9,大後天,,
10467,舊年時,時間、節令,gau nin,舊6年4時4,去年,,
10468,新曆年,時間、節令,san lek nin,新1曆6年4,公曆元旦,,
10469,舊曆年,時間、節令,gau lek nin,舊6曆6年4,春節,,
10470,新正頭,時間、節令,san zeng tau,新1正1頭4,正月期間,,
10471,五月節,時間、節令,ng jyut zit,五5月6節3,(不是粵方言詞),,非粵方言詞。
10472,龍舟節,時間、節令,lung zau zit,龍4舟1節8,端午節,,
10473,冬,時間、節令,dung,冬1,冬至,,
10474,冬節,時間、節令,dung zit,冬1節8,(不是粵方言詞),,非粵方言詞。
10475,年晚,時間、節令,nin maan,年4晚5,接近除夕的日子,發暮(書),
10476,冷天,時間、節令,laang tin,冷3天1,(不是粵方言詞),,非粵方言詞。
10477,凍天,時間、節令,laang tin,凍3天1,天氣冷的時節,冬天,"同""""冷天"""""
10478,年頭,時間、節令,nin tau,年4頭4,年初,,
10479,年尾,時間、節令,nin mei,年4尾5,年底,,
10480,月頭,時間、節令,jyut tau,月6頭4,月初,,
10481,月尾,時間、節令,jyut mei,月6尾5,月底,,
10482,沓,動詞,daap,沓9,(沒有對應詞彙),,鐘表的長針指在某個數字上
10483,一陣間,時間、節令,jat zan gaan,一7陣6(6*2)間1,一會兒,待會兒,
10484,一牌(排),時間、節令,jat paai,一7牌4(4*2)(排),一段時間,,
10485,一輪,時間、節令,jat leon,一7輪4,一段時間,,
10486,幾時,時間、節令,gei si,幾2時4(4*2),什麼時候,無論什麼時候,
10487,好日,時間、節令,hou jat,好2日9*2,好些日子,,
10488,一日到黑,時間、節令,jat jat dou hak,一7日9到3黑7,一天到晚,從早到晚,
10489,成日,時間、節令,sing jat,成4日6,一整天,整天,
10490,不時,時間、節令,bat si,不7時4,每時每刻,,與普通話分別不太大。
10491,一頭半個月,時間、節令,jat tau bun go jyut,一7頭4半3個3月9,一個、半個月的時間,不多的日子,
10492,一時三刻,時間、節令,jat si saam hak,一7時4三1刻7,很短的時間,,
10493,眼,動詞,zaam haa ngaan,25眼5,極短的時間,瞬間,
10494,呢個時候,時間、節令,nei \ ni go si hau,呢1個3時4候6,這時候,,
10495,咿個時候,時間、節令,ji go si hau,咿1個3時4候6,這時候,,
10496,個時,時間、節令,go si,個2時4(4*2),那時候,當時,
10497,個陣,時間、節令,go zan,個2陣6(6*2),那時候,當時,
10498,陣時,時間、節令,go zan si,2陣6時4(4*2),那時候,,
10499,呢牌(排),時間、節令,nei \ ni paai,呢1牌4(4*2)(排),最近這些日子,,
10500,呢輪,時間、節令,nei \ ni leon,呢1輪4,最近這些日子,,"同""""呢牌"""""
10501,咿牌(排),時間、節令,ji paai,咿1牌4(4*2)(排),近來,,"咿牌(排)--最近這些日子。同""""呢牌""""。"
10502,牌(排),時間、節令,go paai,2牌4(4*2)(排),那一段日子,,
10503,先牌,時間、節令,sin paai,先1牌4(4*2),前些日子,,"也作""""先排"""""
10504,早牌,時間、節令,zou paai,早2牌4(4*2),前些日子,,"也作""""早排"""",同""""先牌"""""
10505,前牌(排),時間、節令,cin go paai,前42牌4(4*2)(排),前些日子,,"同""""先牌"""""
10506,大日子,時間、節令,daai jat zi,大6日9子2,(不是粵方言詞),,"重要的,喜慶的日子。非粵方言詞。"
10507,流流,其他,lau lau,流4流4,正當...時候,,
10508,定,其他,deng,定6,方位,地方,
10509,度(道),代詞,dou,度6(道),這裡,那裡,"表示不定指的處所,位置"
10510,呢度,代詞,nei \ ni dou,呢1度6,這裡,,
10511,咿度,代詞,ji dou,咿1度6,這裡,,
10512,度,代詞,go dou,2度6,那裡,,
10513,第度,其他,dai dou,第1度6,別的地方,,
10514,邊,代詞,bin,邊1,哪,哪,
10515,邊度,代詞,bin dou,邊1度6,哪裏,,
10516,呢,代詞,nei \ ni dat,呢17,這裡,,
10517,咿,代詞,ji dat,咿17,這裏,,
10518,,代詞,bin dat,27,哪,,
10519,咿便,代詞,ji bin,咿1便6,這邊,這面,
10520,便,代詞,go bin,2便6,那邊,那一面,
10521,第便,代詞,dai bin,第6便6,另一邊,另一面,
10522,邊便,代詞,bin bin,邊1便6,哪一邊,,
10523,邊邊,代詞,bin bin,邊1邊1,哪一邊,,
10524,上便,其他,soeng bin,上6便6,上邊,上面,
10525,面,其他,min,面6*2,上邊,上面,"同""""面頭"""""
10526,面頭,其他,min tau,面6*2頭4,(沒有對應詞彙),,物體最上層的表面
10527,最面,形容詞,zeoi min,最3面6*2,最上面,,"「最面」物體最上層的表面。同""""面頭"""""
10528,下低,副詞,haa dai,下6低1,(物體的)下邊,(物體的)下面,
10529,下便,副詞,haa bin,下6便6,下邊,下面,
10530,下低,副詞,haa dai,下6低2,下面,底下,
10531,前便,副詞,cin bin,前4便6,前邊,前面,
10532,後底,副詞,hau dai,後6底2,後邊,後面,
10533,後背,副詞,hau bui,後6背3,後邊,後面,"「後背」,背後的一面"
10534,背底,副詞,bui dai,背3底6,後邊,,「背底」背後的一面。
10535,邊跟,副詞,bin gan,邊1跟1,旁邊,近旁,
10536,側跟,副詞,zak gan,側7跟1,旁邊,近旁,"同""""邊跟"""""
10537,側便,副詞,zak bin,側7便6,旁邊,,
10538,邊邊,副詞,bin bin,邊1邊1,旁邊,靠邊兒的地方,
10539,橫邊,副詞,waang bin,橫4邊1,旁邊,側面,
10540,右便,副詞,jau bin,右6便6,右邊,,"同""""右手便"""""
10541,左便,副詞,zo bin,左2便6,左邊,,"同""""左便"""""
10542,一便,副詞,jat bin,一7便6,一邊,一面,
10543,兩便,副詞,loeng bin,兩5便6,兩邊,兩面,
10544,四便,副詞,sei bin,四3便6,四面,四周,
10545,中心,副詞,zung sam,中1心1,中央,中間,
10546,正中,副詞,zing zung,正3中1,(不是粵方言詞),,非粵方言詞。
10547,半□□,副詞,bum lang kang,半3□1□1,半中腰,半路兒,事情正在進行的過程中
10548,埋便,副詞,maai bin,埋4便6,(沒有對應詞彙),,靠得很近的地方
10549,開便,副詞,hoi bin,開1便6,離得稍遠的地方,,
10550,對出,其他,deoi ceot \ cyut,對3出7,(不是粵方言詞),,"同""""對開"""""
10551,裏便,副詞,leoi bin,裏5便6,裏邊,裏面,
10552,開便,副詞,hoi bin,開1便6,靠外邊的位置,靠外邊,
10553,外皮,其他,ngoi pei,外6皮4*2,(不是粵方言詞),,非粵方言詞。
10554,內籠,副詞,noi lung,內6籠4*2,(沒有對應詞彙),,物體的內部空間
10555,頭位,副詞,tau wai,頭4位6*2,最前頭的位置,,
10556,尾尾,副詞,mei mei,尾5*1尾5*1,最後的位置,,
10557,尾尾屎,副詞,mei mei si,尾5*1尾5*1屎2,倒數第一,最後,
10558,最尾,形容詞,zeoi mei,最3尾5*1,最後的位置,,
10559,周圍,副詞,zau wai,周1圍4,到處,,
10560,四周,副詞,sei zau,四3周1,(不是粵方言詞),,非粵方言詞。
10561,四周圍,副詞,sei zau wai,四3周1圍4,(不是粵方言詞),,非粵方言詞。
10562,度度,副詞,dou dou,度6(6*2)度6,處處,,度度--指所有的地方
10563,通處,副詞,tung cyu,通1處3,處處,,"「通處」,所有的地方"
10564,旮旯,天象、地理,gok lok,旮8旯7,角落,,詞義與普通話相同。
10565,窿,其他,lung,窿,窟窿,孔洞,
10566,窿窿罅罅,其他,lung lung laa laa,窿1窿1罅3罅3,不平整的角落,旮旮旯旯的地方,
10567,凹位,副詞,nap wai,凹7位6*2,凹下去的位置,,
10568,界,副詞,gaai,界3,界,邊界,詞義與普通話相同。
10569,地頭,其他,dei tau,地6頭4,地段,勢力範圍,詞義與普通話不同。
10570,馬路面,商業、交通,maa lou min,馬5路6面6*2,馬路邊,,
10571,檔位,商業、交通,dong wai,檔3位3*2,(沒有對應詞彙),,店鋪或售貨攤子所佔用的地方
10572,車位,商業、交通,ce wai,車1位6*2,(沒有對應詞彙),,可供車子停放的位子
10573,轉角,天象、地理,zyun gok,轉3角8,拐角處,,
10574,廣州,天象、地理,gwong zau,廣2州1,(不是粵方言詞),,"特指廣州老城區,市中心"
10575,省,其他,saang,省2,省城,廣州,省城的簡稱；特指廣州；有時又指廣東省
10576,香港地,天象、地理,hoeng gong dei,香1港2地6*2,香港,,略帶感情色彩的稱呼
10577,上便,天象、地理,soeng bin,上6便6,內地,,港澳人指稱內地
10578,下便,天象、地理,haa bin,下6便6,港澳,,廣州人指稱港澳
10579,四邑,天象、地理,sei jap,四3邑7,(沒有對應詞彙),,廣東省四個縣的統稱
10580,五邑,天象、地理,ng jap,五5邑7,(沒有對應詞彙),,新會縣與四邑的合稱
10581,南洋,天象、地理,naam joeng,南4洋4*2,(不是粵方言詞),,泛指東南亞地區。不是粵方言詞。
10582,星加坡,天象、地理,sing gaa bo,星1加3坡1,新加坡,,
10583,星馬,天象、地理,sing maa,星1馬5,(沒有對應詞彙),,新加坡和馬來西亞的合稱
10584,荷里活,天象、地理,ho lei wud,荷4里5活6,好萊塢,,
10585,鄉下,天象、地理,hoeng haa,鄉1下2,老家,原籍,"(普通話有此詞,惟詞義不同)"
10586,地下,天象、地理,dei haa,地6下2,地上,地面,
10587,水路,其他,seoi lou,水2路6,路程,,
10588,心爽,形容詞,sam song,心1爽2,心裏舒服,愉快,
10589,精神爽利,形容詞,zing san song lei,精1神4爽2利6,(不是粵方言詞),,
10590,快樂不知時日過,其他,faai lok bat zi si jat gwo,快3樂9不7知1時4日9過3,(沒有對應詞彙),,心情高興的時候日子過得特別快
10591,,形容詞,hing,3,(喻)興奮,,
10592,得戚,形容詞,dak cik,得7戚7,得意洋洋,,
10593,鬆毛鬆翼,動詞,sung mou sung jik,鬆1毛4鬆1翼9,(沒有對應詞彙),,(喻)顯出得意的樣子
10594,心適,形容詞,sam sik,心1適1,安心,,
10595,安樂,形容詞,on lok,安1樂9,安心,,
10596,氣順,形容詞,hei seon,氣6順6,心情舒暢,沒意見,
10597,懮,動詞,jau,懮1,為...而發愁,擔心,
10598,屈氣,動詞,wat hei,屈7氣3,憋氣,,
10599,悶,形容詞,mun,悶6,心情煩悶,幽悶,
10600,心搕,形容詞,sam ap,心1搕7,心情幽悶,心煩,
10601,局氣,形容詞,guk hei,局9*7氣3,憋氣,生悶氣,
10602,氣,形容詞,jyun hei,1氣3,心裡不痛快,反感,
10603,條氣唔順,其他,tiu hei m1 seon,條4氣3唔4順6,心情不舒暢,有意見,
10604,梗心梗肺,動詞,ngang sam ngang fai,梗2心1梗2肺,窩心,"因某事耿耿於懷,極為難受","同""""頂心頂肺"""""
10605,唔安樂,形容詞,m1 on lok,唔4安1樂9,心裏不安,,
10606,頭刺(赤),形容詞,tau cek,頭4刺3(赤),感到為難或討厭,,
10607,頭,形容詞,tau pau,頭43,(沒有對應詞彙),,"(喻)因事情難辦而費心思。同""""頭大"""""
10608,霎氣,動詞,saap hei,霎8氣3,操心,費心思,
10609,嬲,動詞,nau,嬲1,生氣,發火,
10610,嬲爆爆,動詞,nau baau baau,嬲1爆3爆3,很生氣,,
10611,火滾,形容詞,fo gwan,火2滾2,惱火,生氣,
10612,一把火,其他,jat baa fo,一7把2火2,(喻)生氣,惱火,
10613,撞火,動詞,zong fo,撞6火2,(不是粵方言詞),,
10614,火遮眼,動詞,fo ze ngaan,火2遮1眼5,氣糊塗了(俗),,因憤怒而失去判斷力
10615,激氣,動詞,gik hei,激7氣3,生氣,,
10616,激奀,動詞,gik ngan,激7奀1,十分生氣,,
10617,勞氣,形容詞,lou hei,勞4氣3,生氣,發火,
10618,,形容詞,hing,3,(比喻)生氣,,
10619,躁,形容詞,cou,躁3,煩躁,暴躁(因生氣而顯得粗暴),
10620,慌失失,形容詞,fong sat sat,慌1失7失7,慌張,慌慌張張,
10621,寒,形容詞,hon,寒4,(喻)害怕,,
10622,窒,動詞,zat,窒6,對某人或事害怕,,
10623,打突兀,動詞,daa dat ngat,打2突9兀9,吃驚,,
10624,魂魄唔齊,其他,wan paak m1 cai,魂4魄3唔4齊4,(不是粵方言詞),,
10625,失魂,形容詞,sat wan,失7魂4,(喻)驚懼,,
10626,揗揗震,動詞,tan tan zan,揗4揗4*2震3,害怕,,"(喻)本指顫抖,比喻極害怕"
10627,震揗揗,動詞,zan tan tan,震3揗4揗4,(喻)極害怕,顫抖,"同""""揗揗震"""""
10628,揗,形容詞,tan gai,揗41,害怕,慌張,
10629,手揗腳震,動詞,sau tan goek zan,手2揗4腳3震3,(喻)害怕,手腳亂顫,"手足顫抖,比喻害怕"
10630,有得震冇得,其他,jau dak zan mou dak fan,有5得7震3冇5得73,(喻)極為害怕,,
10631,發矛,動詞,faat maau,發8矛4,害怕,發毛,
10632,醜死怪,形容詞,cau sei gwaai,醜2死2怪3,羞,難為情,"同""""醜怪"""""
10633,怕醜,動詞,paa cau,怕3醜2,怕羞,害臊,
10634,羞家,形容詞,sau gaa,羞1家1,感到害羞,害臊,
10635,肉酸,形容詞,juk syun,肉9酸1,(喻)難為情,難看,
10636,定,形容詞,deng,定6,鎮定,鎮靜,詞義與普通話相同。
10637,倓定,形容詞,daam ding,倓6定6,心中鎮定,不慌不忙,
10638,緊,形容詞,gan,緊2,(不是粵方言詞),,
10639,肉緊,形容詞,juk gan,肉6緊2,緊張,急,
10640,情急,形容詞,ceng gap,情4急7,(不是粵方言詞),,
10641,猴急,形容詞,hau gap,猴4急7,性急,心急,(普通話口語)
10642,一額汗,其他,jat ngaak hon,一7額6汗6,心情緊張,,
10643,顧住,動詞,geu zyu,顧3住6,惦念,,
10644,慌住,動詞,fong zyu,慌1住6,擔心,,
10645,慌怕,動詞,fong paa,慌1怕3,擔心,,"同""""慌住"""""
10646,驚住,動詞,geng zyu,驚1住6,擔心,,
10647,定,形容詞,deng,定6,不必擔心,,
10648,戥,動詞,dang,戥6,為,替,"心裏為別人感到(高興,難過等)"
10649,諗,動詞,nam,諗2,思索,考慮,
10650,諗落,動詞,dok,諗2落9,細想之後有所,,
10651,度,動詞,dok,度6,反復衡量,,"度--本義是量長度,引申為仔細考慮"
10652,諗計,動詞,nam gai,諗2計3*2,想辦法,,
10653,度竅,動詞,dok kiu,度9竅3*2,想主意,,
10654,諗翻轉頭,動詞,nam faan zyun tau,諗2翻1轉3(2)頭4,重新思考,,
10655,諗翻,動詞,nam faan,諗2翻1,回想,回憶,
10656,仲估,動詞,zung gu,仲6估2,以為,還以為,
10657,諗住,動詞,nam zyu,諗2住6,估計,,
10658,批中,動詞,pai zung,批1中3,准確地估計到,,
10659,一箸夾中,動詞,jat zyu gaap zung,一7箸6夾9中3,(喻)一下子就猜中,(喻)准確地估計到,
10660,睇衰,動詞,tai seoi,睇2衰1,把人看得很差,看扁,
10661,睇小,動詞,tai siu,睇2小2,小看,低估,
10662,當冇,其他,dong mou lai,當3冇54,只當某人沒來,,
10663,會錯意,動詞,wui co ji,會6錯3意3,(沒有對應詞彙),,領會錯別人的意思
10664,表錯情,動詞,biu co cing,表2錯3情4,自作多情,,因誤會別人的意思而作出不合適的熱情反應。詞義與普通話相同。
10665,捉錯用神,動詞,zuk co jung san,捉7錯3用6神4,揣摸別人的用意揣摸錯了,,誤會別人的用意
10666,諗唔到,動詞,nam m1 dou,諗2唔4到3,想不到,,
10667,沓埋心水,動詞,daap maai sam seoi,沓9埋4心1水2,(喻)專心致志,心不旁騖,"「沓埋心水」同""""埋心水"""""
10668,迷頭迷腦,其他,mai tau mai nou,迷4頭4迷4腦5,埋頭(做某事),,"同""""埋頭埋腦"""""
10669,上心,動詞,soeng sam,上5心1,(不是粵方言詞),,非粵方言詞。
10670,打醒十二個精神,其他,daa seng sap ji go zing san,打2醒2十9二6個3精1神4,提起十二分精神,,高度集中注意力
10671,,動詞,hau,4*1,注意,留意,
10672,好生(聲),副詞,hou seng,好2生1(聲),小心,當心,
10673,小心駛得萬年船,其他,siu sam sai dak maan nin syun,小2心1駛2得1萬6年4船4,(沒有對應詞彙),,喻小心行事可保長久無虞
10674,失魂,形容詞,sat wan,失7魂4,神不守舍,冒冒失失,
10675,冇覺眼,其他,mou gok ngaan,冇5覺8眼5,沒注意,沒看見,"同""""唔覺眼"""""
10676,唔覺意,其他,m1 gok ji,唔4覺8意3,不留神,不小心,
10677,唔驚唔覺,其他,m1 geng m1 gok,唔4驚1唔4覺8,不知不覺,,
10678,無心裝載,其他,mou sam zong zoi,無4心1裝1載3,(沒有對應詞彙),,(喻對某些事情)沒心思加以考慮
10679,冇心,其他,mou sam,冇5心1,無心,不想,
10680,冇癮,其他,mou jan,冇5癮5,沒癮頭,沒興趣做某事,
10681,鍾意,動詞,zung ji,鍾1意3,喜歡,,
10682,樂,動詞,ngaau,樂6,(不是粵方言詞),,
10683,生貓入眼,其他,saang zi maau jap ngaan,生11貓1入9眼3,(沒有對應詞彙),,看見一個人就喜歡上了。寧:有貶意
